Episode,Reward,AverageReward
0,5.974449006860274,5.974449006860274
1,4.944708222775656,5.459578614817965
2,7.451317824668051,6.123491684767994
3,6.419662220057069,6.197534318590263
4,6.637482548280932,6.285523964528396
5,7.100422866855683,6.4213404482496115
6,7.245051395501811,6.5390134407142115
7,6.442210184387641,6.52691303367339
8,6.011042354886648,6.469594069363752
9,6.455102977025675,6.468144960129945
10,6.266912163813593,6.449851069555732
11,5.973097963060495,6.410121644014462
12,4.778915819083592,6.2846442728659335
13,6.6392073439225125,6.309970206512832
14,5.905070402936303,6.282976886274397
15,6.571049718786938,6.3009814383064295
16,6.139476834123516,6.29148116747214
17,7.096612754705527,6.336210700096218
18,6.051178765288779,6.321209019316879
19,7.175863376875412,6.363941737194805
20,5.760588405997802,6.335210626185424
21,5.488227758853139,6.296711404943047
22,3.651172059640356,6.181687955147277
23,7.187653961321363,6.223603205404532
24,6.267391791174581,6.2253547488353345
25,6.0125862327726,6.217171344371383
26,4.871879346488243,6.167345714820156
27,4.018243110265001,6.0905920503717565
28,6.658030726064783,6.110158901257724
29,5.915094175672234,6.103656743738208
30,6.1461999626486055,6.105029105638543
31,5.3601042531349306,6.081750203997804
32,5.493702613415896,6.063930580040776
33,7.457622946205704,6.104921531986804
34,7.463934738849426,6.143750480754307
35,5.372082906195668,6.1223152703499
36,7.498054645386466,6.159497415621159
37,6.869254006504297,6.178175220644399
38,5.771329767910974,6.1677432859589265
39,6.050444538002192,6.16481081726001
40,6.184116445777238,6.165281686248235
41,6.85689566586929,6.181748685763022
42,5.766257648360475,6.172086103497847
43,7.237627214829203,6.1963029469371955
44,5.375763060691073,6.178068727242838
45,7.840814354207177,6.21421537130728
46,8.111699175035035,6.254587367131275
47,5.57810287934605,6.240493940302414
48,7.066700894697609,6.257355306718643
49,6.703890681614238,6.266286014216554
50,6.287739331237602,6.266706667491476
51,6.312007159803911,6.267577830805177
52,5.081111734145381,6.245191678038012
53,6.7328898930943355,6.25422312646498
54,5.419491871721302,6.23904619456055
55,6.962714005242242,6.251968834037009
56,5.617209935868637,6.240832713016511
57,5.991419463392669,6.236532484574721
58,8.463031135776198,6.2742697498493225
59,5.679156801863832,6.264351200716231
60,7.522176697098454,6.284971290820858
61,4.760042479989654,6.260375664839708
62,6.41897311774579,6.262893084727107
63,6.53440030095565,6.267135384980678
64,6.787884456908226,6.275146909164179
65,6.565201527844884,6.279541676113886
66,6.85052064229557,6.288063750236001
67,6.316262976860091,6.288478444745179
68,5.636119365494231,6.279023965335744
69,7.807021208432767,6.300852497379988
70,7.5712923487904265,6.318746016413939
71,5.653779090083978,6.3095103646593556
72,6.400890721062464,6.310762150363508
73,7.948583251073476,6.332894867940669
74,4.8759409973386925,6.313468816332644
75,5.865555957287737,6.307575226082053
76,6.159596950540359,6.305653430295796
77,7.168385012574137,6.316714091607057
78,8.516651282074136,6.344561397815501
79,6.863908196054478,6.351053232793488
80,5.208025654288255,6.3369417812070035
81,5.844641784182801,6.3309381227067085
82,4.264266185537405,6.306038460813102
83,6.828228498329413,6.312255008878773
84,6.501198234750635,6.314477870359618
85,6.657963555834898,6.318471889958169
86,6.7984125753794,6.323988449560712
87,4.2676114163383385,6.30062052872864
88,9.518531271417505,6.336776829208289
89,5.224226167899612,6.324415155193749
90,8.00899262788349,6.342926995552976
91,7.680316948367415,6.357463842866176
92,4.416436005548928,6.336592575798249
93,5.958539039968527,6.3325707296724
94,7.636957636791009,6.346301118168385
95,9.01174845883467,6.37406619463366
96,4.954558457965596,6.35943209425564
97,6.404921060672291,6.35989626738234
98,5.204710757549931,6.348227726878983
99,5.635277727412353,6.341098226884316
